,title,description,link,plink,pubDate
58,Delta variant: How to keep kids safe as they return to school,A return to school for millions of children has many parents worried how to keep kids safe.,https://www.bbc.co.uk/news/world-us-canada-58208076?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58208076,"Wed, 25 Aug 2021 22:50:12 GMT"
59,Towering twin waterspouts spotted by Florida beachgoers,Twin funnels forming from the sky to the sea off the Florida coast surprised beachgoers.,https://www.bbc.co.uk/news/world-us-canada-58336868?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58336868,"Wed, 25 Aug 2021 20:14:16 GMT"
60,CEO Secrets: 'Tear up the business plan',CEO Secrets: Brooklyn Brewery boss Eric Ottaway says - be ready to ditch your business plan.,https://www.bbc.co.uk/news/business-58316843?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/business-58316843,"Tue, 24 Aug 2021 23:11:38 GMT"
61,Storm Henri: Lightning strikes One World Trade Center,"The strike was captured as Storm Henri approached the north-east of the US, bringing heavy rain.",https://www.bbc.co.uk/news/world-us-canada-58304611?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58304611,"Mon, 23 Aug 2021 11:57:48 GMT"
62,Turmoil in Afghanistan hits close to home in America too,Christine's husband was killed in Afghanistan - she's horrified by the Taliban's return to power.,https://www.bbc.co.uk/news/world-us-canada-58288575?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58288575,"Fri, 20 Aug 2021 23:57:39 GMT"
63,New York officer rescues fallen man from subway train,A bystander captured the harrowing moments after a passenger fell unconscious from the platform.,https://www.bbc.co.uk/news/world-us-canada-58277097?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58277097,"Thu, 19 Aug 2021 23:45:06 GMT"
64,How technology in the air battles fires on the ground,Planes equipped with infrared scanners are helping authorities take on historic wildfires in the US.,https://www.bbc.co.uk/news/world-us-canada-58248261?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58248261,"Tue, 17 Aug 2021 21:53:09 GMT"
65,Canada 'Sixties Scoop': Indigenous survivors map out their stories,"Canada's ""Sixties Scoop"" saw thousands of indigenous children forcibly removed from their families.",https://www.bbc.co.uk/news/world-us-canada-55269251?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-55269251,"Mon, 14 Dec 2020 00:05:26 GMT"
66,New Christmas campaign for Canadians held in China,The campaign is based on efforts around a similar case involving a British journalist fifty years ago.,https://www.bbc.co.uk/news/world-us-canada-55249770?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-55249770,"Thu, 10 Dec 2020 01:39:37 GMT"
67,New Brunswick outbreak: How a smalltown doctor became a Covid pariah,"After being labelled ""patient zero"", a small-town physician in Canada was shunned.",https://www.bbc.co.uk/news/world-us-canada-54686672?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-54686672,"Wed, 25 Nov 2020 01:23:46 GMT"
